Title,Author
Let's add coins,"Doudna, Kelly, 1963-"
Let's celebrate Halloween,"Roop, Peter."
Let's celebrate Presidents' Day,"Roop, Peter."
Let's celebrate St. Patrick's Day,"Roop, Peter."
Let's celebrate Thanksgiving,"Roop, Connie."
Let's celebrate Valentine's Day,"Roop, Peter."
Let's estimate : a book about estimating and rounding numbers,"Adler, David A."
Let's fly a kite,"Murphy, Stuart J., 1942-"
Let's get invisible!,"Stine, R. L."
Let's get this party haunted!,"Stine, R. L."
Let's go for a drive!,"Willems, Mo."
"Let's go home, Little Bear","Waddell, Martin."
"Let's go, Froggy!","London, Jonathan, 1947-"
Let's Jump In!,"Hood, Susan."
"Let's play, Crabby!","Fenske, Jonathan,"
Let's pretend this never happened : by Jamie Kelly,"Benton, Jim."
Let's sing a lullaby with the brave Cowboy,"Thomas, Jan, 1958-"
Let's visit the bank,"Johnston, Marianne."
Letters and e-mail,"Warren, Celia."
Lettice : the dancing rabbit,"Stanley, Mandy."
Lettice the flying rabbit,"Stanley, Mandy."
Leven Thumps and the eyes of the Want,"Skye, Obert."
Leven Thumps and the gateway to Foo,"Skye, Obert."
Leven Thumps and the whispered secret,"Skye, Obert."
Leven Thumps and the wrath of Ezra,"Skye, Obert."
Levers,"Walker, Sally M."
Levers,"Welsbacher, Anne, 1955-"
Levi Strauss,"Peterson, Tiffany."
Lewis and Clark,"Ransom, Candice F., 1952-"
Lewis and Clark : a prairie dog for the president,"Redmond, Shirley-Raye."
"Lewis and Clark-- and Jodie, Freddi, and Samantha","Frantz, Jennifer."
Lewis Carroll,"Carroll, Lewis, 1832-1898."
Lexi's tale : a park pals adventure,"Hurwitz, Johanna."
Liam's watch : a strange story of the Great Chicago Fire,"Dell, Pamela."
Liar & spy,"Stead, Rebecca."
"Liar, liar : the theory, practice, and destructive properties of deception","Paulsen, Gary."
"Liar, liar, pants on fire","De Groat, Diane."
Libby the writing fairy,"Meadows, Daisy."
Liberty,"Curlee, Lynn."
"Liberty Porter, first daughter","DeVillers, Julia."
Liberty!,"Drummond, Allan."
Liberty! : how the Revolutionary War began,"Penner, Lucille Recht."
Library lion,"Knudsen, Michelle."
Library mouse,"Kirk, Daniel."
Library mouse : a museum adventure,"Kirk, Daniel."
Library mouse : a world to explore,"Kirk, Daniel."
Life cycle of a silkworm,"Fridell, Ron."
Life cycles,"Cernek, Kim, 1961-"
Life cycles,"Wallace, Holly, 1961-"
Life in a desert,"Lindeen, Carol, 1976-"
Life in a forest,"Lindeen, Carol, 1976-"
Life in a Hopi village,"Isaacs, Sally Senzell, 1950-"
Life in a longhouse village,"Kalman, Bobbie."
Life in a Plains camp,"Kalman, Bobbie."
Life in a pond,"Lindeen, Carol, 1976-"
Life in a pueblo,"Bishop, Amanda."
Life in a wetland,"Lindeen, Carol, 1976-"
Life in an Anishinabe camp,"Walker, Niki, 1972-"
Life in motion : an unlikely ballerina,"Copeland, Misty,"
Life is a bowl full of cherries : a book of food idioms and silly pictures,"Oelschlager, Vanita."
Life of the Navajo,"Bishop, Amanda."
Life of the Powhatan,"Sjonger, Rebecca."
Life on a pioneer homestead,"Isaacs, Sally Senzell, 1950-"
Life on a southern plantation,"Isaacs, Sally Senzell, 1950-"
Life on Mars,"Brown, Jennifer, 1972-"
Life on the Trail of Tears,"Fischer, Laura, 1977-"
Life on the Underground Railroad,"Isaacs, Sally Senzell, 1950-"
"Life, starring me!","Wasserman, Robin."
Lifeguards,"Christian, Sandra J."
Lifetime : the amazing numbers in animal lives,"Schaefer, Lola M., 1950-"
"Light : shadows, mirrors, and rainbows","Rosinsky, Natalie M. (Natalie Myra)"
Light the lights! : a story about celebrating Hanukkah & Christmas,"Moorman, Margaret."
Lights out!,"Dower, Laura."
"Lights, camera--","Keene, Carolyn."
"Lights, camera-- cats!","Keene, Carolyn."
Like a windy day,"Asch, Frank."
"Lila and Myla, the twin fairies","Meadows, Daisy."
Lilly's big day,"Henkes, Kevin."
Lilly's purple plastic purse,"Henkes, Kevin."
Lily B. on the brink of cool,"Kimmel, Elizabeth Cody."
Lily's ghosts,"Ruby, Laura."
Lily's pesky plant,"Larsen, Kirsten."
Lincoln's Grave Robbers.,"Sheinkin, Steve."
Lincoln's legacy,"Deutsch, Stacia."
Lindsay the luck fairy,"Meadows, Daisy."
"Lion : habitats, life cycles, food chains, threats","Jordan, Bill."
Lion lessons,"Agee, Jon,"
Lion of the sky : haiku for all seasons,"Salas, Laura Purdie."
Lion vs. Rabbit,"Latimer, Alex,"
Lion vs. tiger,"Thomas, Isabel, 1979-"
Lionboy : the chase,"Corder, Zizou."
Lionboy : the truth,"Corder, Zizou."
Lionel at large,"Krensky, Stephen."
Lionel at school,"Krensky, Stephen."
Lionel in the fall,"Krensky, Stephen."
Lionel in the summer,"Krensky, Stephen."
Lionel's birthday,"Krensky, Stephen."
Lions,"Murray, Julie, 1969-"
Lions & liars,"Beasley, Kate,"
Lions and other wild cats,"Horak, Steven A."
Lions at lunchtime,"Osborne, Mary Pope."
Liplap's wish,"London, Jonathan, 1947-"
Liquids,"Rodriguez, Cindy."
Listen to my trumpet!,"Willems, Mo."
Listen to the rain,"Martin, Bill, 1916-2004."
"Listen, Buddy","Lester, Helen."
Listen!,"Tolan, Stephanie S."
Litte Red Riding Hood,"Moore, Maggie."
Little apple : a book of thanks,"Weninger, Brigitte."
"Little Badger, terror of the seven seas","Bunting, Eve, 1928-"
Little Badger's just-about birthday,"Bunting, Eve, 1928-"
Little bear,"Minarik, Else Holmelund."
Little Bear's little boat,"Bunting, Eve, 1928-"
Little Bear's new friend,"Minarik, Else Holmelund."
Little Beaver and the echo,"MacDonald, Amy."
Little blue and little yellow : a story for Pippo and Ann and other children,"Lionni, Leo, 1910-1999."
Little Bo Peep can't get to sleep,"Dealey, Erin."
Little bunny on the move,"McCarty, Peter."
Little Bunny's Christmas tree,"Modesitt, Jeanne."
Little Bunny's Easter surprise,"Modesitt, Jeanne."
Little camp of horrors,"Stine, R. L."
Little cat's luck,"Bauer, Marion Dane,"
Little cloud,"Carle, Eric."
Little Dinosaur,"Thaler, Mike, 1936-"
Little dreamers : visionary women around the world,"Harrison, Vashti,"
Little Duck lost,"Briers, Erica, 1977-"
Little Fern's first winter,"Simmons, Jane."
Little Flower,"Rand, Gloria."
Little Fox,"Janovitz, Marilyn."
Little giant-- big trouble,"McMullan, Kate."
Little goblins ten,"Jane, Pamela."
Little Green,"Baker, Keith, 1953-"
Little Horse,"Byars, Betsy Cromer."
Little Horse on his own,"Byars, Betsy Cromer."
Little house in the big woods,"Wilder, Laura Ingalls, 1867-1957."
Little house on the prairie,"Wilder, Laura Ingalls, 1867-1957."
Little leaders : bold women in black history,"Harrison, Vashti,"
"Little libraries, big heroes","Paul, Miranda."
Little lions,"Arnosky, Jim."
Little lost bat,"Markle, Sandra."
Little Miss Miss,"Gottesfeld, Jeff."
Little Miss Spider,"Kirk, David, 1955-"
Little Miss Spider : a Christmas wish,"Kirk, David, 1955-"
Little Miss Spider : at Sunny Patch school,"Kirk, David, 1955-"
Little mouse on the prairie,"Cosgrove, Stephen."
Little Nino's pizzeria,"Barbour, Karen."
Little Oink,"Rosenthal, Amy Krouse."
Little One Step,"James, Simon."
Little penguin and the lollipop,"Bentley, Tadgh."
Little Penguin's tale,"Wood, Audrey."
Little Pierre : a Cajun story from Louisiana,"San Souci, Robert D."
Little Porcupine's Christmas,"Slate, Joseph."
Little Quack,"Thompson, Lauren."
Little Quack's hide and seek,"Thompson, Lauren."
Little Rabbit Foo Foo,"Rosen, Michael, 1946-"
Little Red,"Woollvin, Bethan."
Little Red : a fizzingly good yarn,"Roberts, Lynn (Lynn M.)"
Little Red Cap,by the Brothers Grimm ; illustrated by Lisbeth Zwerger ; transtlated from the German by Elizabeth D. Crawford.
Little red riding hood,"Davidson, Susanna."
Little Red Riding Hood,"Pinkney, Jerry."
Little Red Riding Hood : a newfangled prairie tale,"Ernst, Lisa Campbell."
Little Red Riding Hood = : Caperucita roja,by the Brothers Grimm ; illustrated by Pau Estrada.
Little Red Riding Wolf,"Anholt, Laurence."
Little Red Ruthie : a Hanukkah tale,"Koster, Gloria."
Little Red's riding 'hood,"Stein, Peter (Peter Lawrence),"
Little Robin's Christmas,"Fearnley, Jan."
Little shop of hamsters,"Stine, R. L."
Little town on the prairie,"Wilder, Laura Ingalls."
Little Walrus warning,"Young, Carol, 1945-"
Little Whistle's Christmas,"Rylant, Cynthia."
Little Witch goes to camp,"Hautzig, Deborah."
Little Witch learns to read,"Hautzig, Deborah."
Little Witch takes charge!,"Hautzig, Deborah."
Little women,"Alcott, Louisa May, 1832-1888."
Little women,"Sebag-Montefiore, Mary."
Little Yau : a Fuzzhead tale,"Cannon, Janell, 1957-"
Living in a temperate deciduous forest,"Baldwin, Carol, 1943-"
Living in a world of green : where survival means blending in,"Stone, Tanya Lee."
Living in space,"Clay, Kathryn."
Living in the taiga,"Baldwin, Carol, 1943-"
Livingstone Mouse,"Edwards, Pamela Duncan."
Liz and the sand castle contest,"Barkley, Callie."
Liz's night at the museum,"Barkley, Callie."
Lizard's guest,"Shannon, George."
Lizards,"Mattern, Joanne, 1963-"
Lizards in the lunch line,"Dadey, Debbie."
Lizzie Bright and the Buckminster boy,"Schmidt, Gary D."
Llama Llama and the bully goat,Anna Dewdney.
Llama llama holiday drama.,"Dewdney, Anna."
Llama Llama mad at mama,"Dewdney, Anna."
Llama llama time to share.,"Dewdney, Anna."
Llamas,"Dunn, Mary R."
Lloyd vs. Lord Garmadon,"Howard, Kate."
Lo-Jack and the pirates,"Hooks, William H."
Lobster's secret,"Hollenbeck, Kathleen M."
Lobsters,"Coldiron, Deborah."
Locked in the library!,"Krensky, Stephen."
Locker hero,"Russell, Rachel Renée."
Locomotion,"Woodson, Jacqueline."
Locomotive,"Floca, Brian."
Locos por la lucha libre = Crazy for wrestling,"Domínguez, María,"
Logan the puppy,"Clarke, Jane, 1954-"
Loki's wolves,"Armstrong, Kelley."
Lola & Tiva : an unlikely friendship,"Hatkoff, Juliana."
Lola at the library,"McQuinn, Anna."
Lola Levine and the ballet scheme,"Brown, Monica, 1969-"
Lola Levine and the Halloween scream,"Brown, Monica, 1969-"
Lola Levine and the vacation dream,"Brown, Monica, 1969-"
Lola Levine is not mean!,"Brown, Monica, 1969-"
Lola Levine meets Jelly and Bean,"Brown, Monica, 1969-"
"Lola Levine, drama queen","Brown, Monica, 1969-"
Lon Po Po : a Red-Riding Hood story from China,"Young, Ed."
Lone wolf,"Lasky, Kathryn."
Long road to freedom,"Messner, Kate,"
Long shadows,"Hunter, Erin."
Long-haired cat breeds,"Gardeski, Christina Mia."
Long-neck : the adventure of Apatosaurus,"Dahl, Michael."
Longhouse,"Beres, Cynthia Breslin, 1953-"
Longhouses,"Manning, Jack."
Look at my book : how kids can write & illustrate terrific books,"Leedy, Loreen."
Look before you leap,"Mazer, Anne."
"Look out kindergarten, here I come!","Carlson, Nancy L."
"Look out, Jack! the giant is back!","Birdseye, Tom."
Look out! A storm!,"Milgrim, David."
"Look to the hills : the diary of Lozette Moreau, a French slave girl","McKissack, Pat, 1944-"
Look up!,"Chŏng, Chin-ho, 1987-"
Look what came from Greece,"Davis, Kevin A."
Look! : a book about sight,"Rau, Dana Meachen, 1971-"
Look! I can tie my shoes!,"Hood, Susan."
Loon at Northwood Lake,"Ring, Elizabeth, 1920-"
Loon Lake fishing derby,"Waldron, Kathleen Cook."
Loose leashes,"Schmidt, Amy, 1969-"
Loose tooth,"Schaefer, Lola M., 1950-"
Loose tooth,"Suen, Anastasia."
Loot : how to steal a fortune,"Watson, Jude."
Lord Cornwallis : British general,"Harmon, Daniel E."
Lord of the fleas,"Pilkey, Dav, 1966-"
Lord of the Fleas,"Pilkey, Dav."
Lord Sunday,"Nix, Garth."
Loretta : ace Pinky Scout,"Graves, Keith."
Los Angeles,"Stein, R. Conrad."
Los Angeles Lakers,"Moussavi, Sam."
Loser,"Spinelli, Jerry."
Lost,"Prineas, Sarah."
Lost and found,"Dower, Laura."
Lost and found : three dog stories,"LaMarche, Jim."
Lost and found ducklings,"Gorbachev, Valeri."
Lost and found.,"Clements, Andrew."
Lost in Babylon,"Lerangis, Peter."
Lost in the Everglades,"Keene, Carolyn."
Lots of hearts,"Cocca-Leffler, Maryann, 1958-"
Lottie's new friend,"Mathers, Petra."
Louanne Pig in the mysterious valentine,"Carlson, Nancy L."
Louanne Pig in the perfect family,"Carlson, Nancy."
Loudest beagle on the block,"Sutherland, Tui, 1978-"
Loudmouth George and the big race,"Carlson, Nancy L."
Loudmouth George and the new neighbors,"Carlson, Nancy."
Loudmouth George and the sixth-grade bully,"Carlson, Nancy L."
Louie's search,"Keats, Ezra Jack."
Louis Braille,"Woodhouse, Jayne, 1952-"
Louis Pasteur : a photo-illustrated biography,"Spengler, Kremena."
Louise : the adventures of a chicken,"DiCamillo, Kate."
Louise the lily fairy,"Meadows, Daisy."
Louisiana's way home,"DiCamillo, Kate,"
Lousy rotten stinkin' grapes,"Palatini, Margie."
Lovable Lyle,"Waber, Bernard."
Love,"de la Peña, Matt."
Love and other fiascos,"Ignatow, Amy."
Love and roast chicken : a trickster tale from the Andes Mountains,"Knutson, Barbara."
Love is a gift,"Brooke, Lauren."
Love monster,"Bright, Rachel."
Love Monster and the perfect present,"Bright, Rachel."
Love stinks!,"Krulik, Nancy E."
Love that dog,"Creech, Sharon."
Love thy neighbor : the Tory diary of Prudence Emerson,"Turner, Ann Warren."
Love you forever,"Munsch, Robert N., 1945-"
Love you until--,"McCourt, Lisa."
"Love, Ruby Lavender","Wiles, Deborah."
"Love, Stargirl","Spinelli, Jerry."
Lowji discovers America,"Fleming, Candace."
Lucas and his loco beans,"Winner, Ramona Moreno."
Lucinda's secret,"DiTerlizzi, Tony."
Lucky,"Gerver, Jane E."
Lucky,"Miles, Ellen."
Lucky 13 : solitaire games for kids,"Street, Michael."
Lucky broken girl,"Behar, Ruth, 1956-"
Lucky Duck,"Weiss, Ellen, 1949-"
Lucky ducklings,"Moore, Eva."
Lucky goes to school!,"Herman, Gail, 1959-"
Lucky hares and itchy bears,"Ewing, Susan, 1954-"
Lucky leaf,"O'Malley, Kevin, 1961-"
Lucky O'Leprechaun,"Dillon, Jana."
Lucky O'Leprechaun comes to America,"Dillon, Jana."
Lucky O'Leprechaun in school,"Dillon, Jana."
Lucky socks,"Weston, Carrie."
Lucretia Mott : a photo-illustrated biography,"Davis, Lucile."
Lucy,"Miles, Ellen."
Lucy Longwhiskers gets lost,"Meadows, Daisy."
Lucy Rose : big on plans,"Kelly, Katy."
"Lucy Rose, here's the thing about me","Kelly, Katy."
Lucy the diamond fairy,"Meadows, Daisy."
Lug : dawn of the Ice Age,"Zeltser, David."
Luke goes to bat,"Isadora, Rachel."
Lulie the iceberg,"Takamado no Miya Hisako, 1953-"
Lulu : my glamorous life,"May, Kyla."
Lulu's lemonade,"DeRubertis, Barbara."
Luna and the well of secrets,"Sweet, J. H."
Lunch Lady and the author visit vendetta,"Krosoczka, Jarrett."
Lunch Lady and the bake sale bandit,"Krosoczka, Jarrett."
Lunch lady and the cyborg substitute,"Krosoczka, Jarrett."
Lunch Lady and the field trip fiasco,"Krosoczka, Jarrett."
Lunch Lady and the League of Librarians,"Krosoczka, Jarrett."
Lunch Lady and the mutant mathletes /#7,"Krosoczka, Jarrett."
Lunch lady and the picture day peril,"Krosoczka, Jarrett."
Lunch Lady and the schoolwide scuffle,"Krosoczka, Jarrett,"
Lunch Lady and the summer camp shakedown #4,"Krosoczka, Jarrett."
Lunch Lady and the video game villain /#9,"Krosoczka, Jarrett."
Lunch walks among us,"Benton, Jim."
Lunchbox laughs : a book of food jokes,"Ziegler, Mark, 1954-"
Lunchtime for a purple snake,"Ziefert, Harriet."
Lupe Luna : se quedó despierta toda la noche!,"Edwards, Frank B., 1952-"
Luther's Halloween,"Meister, Cari."
Lydia the reading fairy,"Meadows, Daisy."
Lyle and the birthday party,"Waber, Bernard."
Lyle at Christmas,"Waber, Bernard."
Lyle finds his mother,"Waber, Bernard."
"Lyle, Lyle, crocodile","Waber, Bernard."
Lyndon Baines Johnson,"Burgan, Michael."
M is for magnolia : a Mississippi alphabet,"Shoulders, Michael."
M is for majestic : a national parks alphabet,"Domeniconi, David."
M is for maple syrup : a Vermont alphabet,"Reynolds, Cynthia Furlong."
M is for Mayflower : a Massachusetts alphabet,"Raven, Margot Theis."
M is for mitten : a Michigan alphabet,"Appleford, Annie."
Mabel makes the grade,"Mazer, Anne."
Mabel on the move,"Mazer, Anne."
Mabel strikes a chord,"Mazer, Anne."
"Mac & cheese, pleeeeze!","May, Eleanor."
Mac undercover,"Barnett, Mac,"
Macmillan encyclopedia of Native American tribes,"Johnson, Michael, 1937 Apr. 22-"
Mad Dog McGraw,"Uhlberg, Myron."
Madam C.J. Walker,"Hobkirk, Lori."
Madam C.J. Walker and new cosmetics,"Krohn, Katherine E."
Madam President,"Smith, Lane."
Madame Amelia tells all,"Moss, Marissa."
Madeline,"Bemelmans, Ludwig,"
Madeline,"Bemelmans, Ludwig, 1898-1962."
Madeline's adventures,ClassicMedia ; Sony Wonder.
Madeline's Christmas,"Bemelmans, Ludwig, 1898-1962."
Madeline's rescue,"Bemelmans, Ludwig, 1898-1962."
Maestro Von Haughty presents One dark and dreadful night : a Wayward Orphans production,"Cecil, Randy."
Magellan : Ferdinand Magellan and the first trip around the world,"Burgan, Michael."
Maggie and Max,"Miles, Ellen."
Maggie and Milo,"Brenning, Juli ; illustrated by Priscilla Burris."
Maggie and the monster,"Winthrop, Elizabeth."
Maggie L. Walker,"Donohue, Moira Rose."
Magic,"Funston, Sylvia."
Magic and other misdemeanors,"Buckley, Michael."
Magic can be murder,"Vande Velde, Vivian."
Magic hearts,"Perelman, Helen."
Magic Matt and the dinosaur,"Maccarone, Grace."
Magic Matt and the Jack-o'-lantern,"Maccarone, Grace."
Magic Matt and the skunk in the tub,"Maccarone, Grace."
Magic with cards,"Eldin, Peter."
"Magic, step-by-step","Russell, Tom."
Magnetic and nonmagnetic,"Royston, Angela."
Magnets,"Blevins, Wiley."
Magnets,"Bryant-Mole, Karen."
Magnets,"Royston, Angela."
Magnets,"Schreiber, Anne."
"Magnets : pulling together, pushing apart","Rosinsky, Natalie M. (Natalie Myra)"
Magnus Chase and the gods of Asgard : the hammer of Thor,"Riordan, Rick,"
Magyk,"Sage, Angie."
Maiasaura,"Cohen, Daniel, 1936-"
Major League soccer,"Rausch, David."
Make a light your way! : inventing gadgets to see in the dark,"Thomas, Rachael L.,"
Make games with circuits,"Harbo, Christopher L.,"
Make it! ship it!,"Scott, Janine."
Make me giggle : writing your own silly story,"Loewen, Nancy, 1964-"
Make new friends,"Wells, Rosemary."
"Make the team, Baby Duck!","Hest, Amy."
Make way for ducklings,"McCloskey, Robert."
"Make your mark, Franklin Roosevelt","St. George, Judith, 1931-"
Maker projects for kids who love animation,"Levete, Sarah."
Maker projects for kids who love robotics,"Bow, James."
Making basic origami shapes step by step,"LaFosse, Michael G."
Making books,"Johnson, Paul, 1943-"
Making origami animals step by step,"LaFosse, Michael G."
Making origami toys step by step,"LaFosse, Michael G."
Making the band,"Barbo, Maria S.,"
Malala : activist for girls' education,"Frier, Raphaële, 1970-"
Malamander,"Taylor, Thomas, 1973-"
Mali : land of gold & glory,"Masoff, Joy, 1951-"
Mall madness,"Keene, Carolyn."
Mallory on board,"Friedman, Laurie B., 1964-"
Mallory on the move,"Friedman, Laurie B., 1964-"
Mallory vs. Max,"Friedman, Laurie B., 1964-"
Mama don't allow : starring Miles and the Swamp Band,"Hurd, Thacher."
"Mama, don't go!","Wells, Rosemary."
Mambas,"O'Hare, Ted, 1961-"
Mammal takeover!,"Howard, Abby, (Comic artist),"
Mammals : a 4D book,"Jaycox, Jaclyn, 1983-"
Mammoth,"O'Brien, Patrick, 1960-"
Mammoths on the move,"Wheeler, Lisa, 1963-"
"Mañana, Iguana","Paul, Ann Whitford."
"Mango, Abuela, and me","Medina, Meg."
Maniac Magee,"Spinelli, Jerry."
"Manners, please! : Con buenos modales, por favor!","Halpern, Monica."
Manuelo the playing mantis,"Freeman, Don, 1908-1978."
Map keys,"Aberg, Rebecca."
Map mania : discovering where you are and getting to where you aren't,"Dispezio, Michael A."
Map scales,"Wade, Mary Dodson."
Mapping our world,"Scott, Janine."
Mapping Penny's world,"Leedy, Loreen."
Marbles,"Jaffe, Elizabeth Dana."
March mischief,"Roy, Ron, 1940-"
March of the Vanderpants,"Cummings, Troy."
Marco Polo,"McFarren, Kathleen."
Marco? Polo!,"Scieszka, Jon."
Margaret and the Moon : how Margaret Hamilton saved the first lunar landing,"Robbins, Dean, 1957-"
Margret & H. A. Rey's Curious George and the dump truck,illustrated in the style of H.A. Rey by Vipah Interactive.
Margret & H. A. Rey's Curious George goes to the beach,illustrated in the style of H.A. Rey by Vipah Interactive.
Margret & H.A. Rey's Curious George and the birthday surprise,illustrated in the style of H.A. Rey by Martha Weston.
Margret & H.A. Rey's Curious George feeds the animals,illustrated in the style of H.A. Rey by Vipah Interactive.
Margret & H.A. Rey's Curious George goes to a costume party,illustrated in the style of H.A. Rey by Martha Weston.
Margret & H.A. Rey's Curious George takes a train,illustrated in the style of H.A. Rey by Martha Weston.
Margret & H.A. Rey's Curious George visits a toy store,illustrated in the style of H.A. Rey by Martha Weston.
Margret & H.A. Rey's Curious George's dream,illustrated in the style of H.A. Rey by Vipah Interactive.
Maria had a little llama = María tenía una llamita,"Dominguez, Angela N."
Maria's comet,"Hopkinson, Deborah."
Marian Anderson,"Meadows, James, 1969-"
Mariana the Goldilocks Fairy,"Meadows, Daisy."
Marie Curie,"Rau, Dana Meachen, 1971-"
Marie Curie : prize-winning scientist,"Mortensen, Lori, 1955-"
"Marigold and the Feather of Hope, the journey begins","Sweet, J. H."
Mario and the hole in the sky : how a chemist saved our planet,"Rusch, Elizabeth,"
Mario Andretti,"Prentzas, G. S."
Marion and the secret letter,"Barkley, Callie."
Marion Jones : sprinting sensation,"Stewart, Mark."
Marissa the science fairy,"Meadows, Daisy."
Mark Zuckerberg : Facebook creator,"Lüsted, Marcia Amidon."
Marley goes to school,"Grogan, John, 1957-"
Marshes & swamps,"Gibbons, Gail."
Martha and Skits,"Meddaugh, Susan."
Martha blah blah,"Meddaugh, Susan."
Martha in the middle,"Fearnley, Jan."
Martha speaks,"Meddaugh, Susan."
Martha Washington : first lady of the United States,"Slade, Suzanne."
Martial arts,"Mitchell, David, 1944-"
Martial arts for fun!,"Carter, Kevin."
Martial arts in action,"Levigne, Heather, 1974-"
Martin Luther King Jr.,"Roop, Peter."
Martin Luther King Jr. : a photo-illustrated biography,"Feeney, Kathy, 1954-"
Martin Luther King Jr. Day,"Ansary, Mir Tamim."
"Martin Luther King, Jr.","Dunn, Joeming W."
"Martin Luther King, Jr.","Mara, Wil."
"Martin Luther King, Jr.","Raatma, Lucia."
"Martin Luther King, Jr.","Schaefer, Lola M., 1950-"
"Martin Luther King, Jr.","Walker, Pam, 1958-"
"Martin Luther King, Jr.","Winget, Mary."
"Martin Luther King, Jr. : great civil rights leader","Fandel, Jennifer."
"Martin Luther King, Jr. : preacher, freedom fighter, peacemaker","Nettleton, Pamela Hill."
"Martin's big words : the life of Dr. Martin Luther King, Jr.","Rappaport, Doreen."
Martina & Chrissie : the greatest rivalry in the history of sports,"Bildner, Phil,"
Martina the beautiful cockroach : a Cuban folktale,"Deedy, Carmen Agra."
Marty McGuire,"Messner, Kate."
Marty McGuire digs worms!,"Messner, Kate."
Marty McGuire has too many pets!,"Messner, Kate."
Marvelous monster jokes,"Lindley, Sally."
Marvelous multiplication and dazzling division,"Hillen, Judith."
Marvin and the mean words,"Kline, Suzy."
Marvin and the meanest girl,"Kline, Suzy."
Marvin K. Mooney will you please go now!,"Seuss, Dr."
Marvin Redpost : a flying birthday cake?,"Sachar, Louis, 1954-"
Marvin Redpost : a magic crystal?,"Sachar, Louis, 1954-"
Marvin Redpost : class president,"Sachar, Louis, 1954-"
Marvin Redpost : is he a girl?,"Sachar, Louis, 1954-"
Marvin Redpost : kidnapped at birth?,"Sachar, Louis, 1954-"
Marvin wanted more!,"Theobald, Joseph."
Marvin's manners : Los modales de Manolo.,"Myers, Anne."
Mary Clare likes to share,"Hulme, Joy N."
Mary Engelbreit's a merry little Christmas : celebrate from A to Z.,"Engelbreit, Mary."
"Mary had a little jam, and other silly rhymes","Lansky, Bruce."
Mary Margaret Mary Christmas,"MacLean, Christine Kole."
Mary Margaret's tree,"Drawson, Blair."
Mary McLeod Bethune: a photo-illustrated biography,"McLoone, Margo."
Mary Smith,"ỦRen, Andrea."
Mary was a little lamb,"Rand, Gloria."
Mary wears what she wants,"Negley, Keith,"
Maserati,"Schaefer, A. R. (Adam Richard), 1976-"
Masquerade brawl,"West, Tracey, 1965-"
Master of Disaster,"Peters, Stephanie True, 1965-"
"Mastering the basic math facts in addition and subtraction : strategies, activities & interventions to move students beyond memorization","O'Connell, Susan."
Masterminds,"Korman, Gordon."
Masterpiece,"Broach, Elise."
Math appeal : mind-stretching math riddles,"Tang, Greg."
Math curse,"Scieszka, Jon."
Math fables,"Tang, Greg."
Math for all seasons : mind-stretching math riddles,"Tang, Greg."
Math links : teaching the NCTM 2000 standards through children's literature,"Evans, Caroline W."
"Math matters : understanding the math you teach, grades K-6","Chapin, Suzanne H."
Math-terpieces : the art of problem-solving,"Tang, Greg."
Mathemagic,"Blum, Raymond."
Mathematickles! : poems,"Franco, Betsy."
Matilda,"Dahl, Roald."
Matthew A.B.C.,"Catalanotto, Peter."
Matthew Henson,"Armentrout, David, 1962-"
Matthew Henson : Arctic adventurer,"Hoena, B. A."
Matthew's dream,"Lionni, Leo, 1910-1999."
Maui-Maui,"Cosgrove, Stephen."
Maverick and me,"Schwarzenegger, Katherine,"
Max for president,"Krosoczka, Jarrett."
Max Spaniel: Best in show.,"Catrow, David."
"Max, the stubborn little wolf","Judes, Marie-Odile."
Max's castle,"Banks, Kate, 1960-"
Max's chocolate chicken,"Wells, Rosemary."
Max's Christmas,"Wells, Rosemary."
Max's starry night,"Wilson-Max, Ken."
Max's story,"Cameron, W. Bruce,"
Max's Words,"Banks, Kate."
Maxed out,"Greer, Daphne."
May Bird among the stars,"Anderson, Jodi Lynn."
May Bird and the ever after,"Anderson, Jodi Lynn."
May Bird warrior princess,"Anderson, Jodi Lynn."
May magic,"Roy, Ron, 1940-"
Maybe something beautiful,"Campoy, F. Isabel."
Mayflower 1620 : a new look at a pilgrim voyage,"Plimoth Plantation with Peter Arenstam, John Kemp, and Catherine O'Neill Grace ; photographs by Sisse Brimberg and Cotton Coulson."
Mayflower treasure hunt,"Roy, Ron, 1940-"
Mayor Hubble is in trouble!,"Gutman, Dan."
McBroom's ghost,"Fleischman, Sid, 1920-2010."
McDuff and the baby,"Wells, Rosemary."
McDuff goes to school,"Wells, Rosemary."
McDuff moves in,"Wells, Rosemary."
McDuff's new friend,"Wells, Rosemary."
McElligot's pool,"Seuss, Dr."
McGraw's Emporium,"Aylesworth, Jim."
Me and my mummy,"Greenburg, Dan."
Me and my Robot,"West, Tracey, 1965-"
Me first,"Lester, Helen."
"Me llamo Bud, no Buddy","Curtis, Christopher Paul."
Me oh Maya!,"Scieszka, Jon."
Me on the map,"Sweeney, Joan,"
Me...Jane,"McDonnell, Patrick, 1956-"
Meaner than meanest,"Somers, Kevin."
Measle and the dragodon,"Ogilvy, Ian, 1943-"
Measle and the Wrathmonk,"Ogilvy, Ian, 1943-"
Measuring Penny,"Leedy, Loreen."
Meerkat mail,"Gravett, Emily."
Meet E. B. White,"Ward, S. (Stasia), 1968-"
Meet Felicity : an American girl,"Tripp, Valerie, 1951-"
Meet Gail Carson Levine,"McGinty, Alice B., 1963-"
